id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication
5959060,https://www.airbnb.com/rooms/5959060,,Islands,22.26716,113.99594,3,$584.00,4.66,4.82,4.68,4.71,4.91
5971306,https://www.airbnb.com/rooms/5971306,,Yau Tsim Mong,22.31884,114.17007,1,$188.00,4.2,4.67,4.06,4.5,4.69
5992273,https://www.airbnb.com/rooms/5992273,"Kowloon, Hong Kong",Yau Tsim Mong,22.31676,114.16959,2,$444.00,4.36,4.79,4.29,4.35,4.59
6007711,https://www.airbnb.com/rooms/6007711,"香港香港, 九龍, Hong Kong",Yau Tsim Mong,22.32081,114.17025,2,$270.00,4.13,4.56,3.78,4.25,4.67
6010103,https://www.airbnb.com/rooms/6010103,"Midlevels , Hong Kong Island, Hong Kong",Central & Western,22.2809,114.15135,6,"$2,850.00",4.76,4.88,4.94,5.0,5.0
6038067,https://www.airbnb.com/rooms/6038067,,Yau Tsim Mong,22.29684,114.17579,1,$186.00,4.63,5.0,4.38,4.75,4.5
6046605,https://www.airbnb.com/rooms/6046605,,Yau Tsim Mong,22.29692,114.17044,2,$550.00,4.66,4.91,4.74,4.85,4.72
6051073,https://www.airbnb.com/rooms/6051073,,Yau Tsim Mong,22.29864,114.1719,2,$446.00,4.7,4.87,4.62,4.89,4.79
6098189,https://www.airbnb.com/rooms/6098189,,Yau Tsim Mong,22.31195,114.16943,8,"$1,429.00",4.65,4.89,4.69,4.61,4.87
6120946,https://www.airbnb.com/rooms/6120946,,Yau Tsim Mong,22.31908,114.1716,2,$896.00,5.0,5.0,5.0,5.0,5.0
6158116,https://www.airbnb.com/rooms/6158116,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.30194,114.17242,1,$508.00,4.21,4.75,4.36,4.33,4.68
6171123,https://www.airbnb.com/rooms/6171123,,Yau Tsim Mong,22.29685,114.17232,3,$654.00,4.35,4.95,4.42,4.57,4.62
6238727,https://www.airbnb.com/rooms/6238727,"Mong Kok, Kowloon, Hong Kong",Yau Tsim Mong,22.32559,114.16604,11,"$1,509.00",4.58,4.77,4.6,4.69,4.79
6276711,https://www.airbnb.com/rooms/6276711,"Hong Kong, Monkok, Hong Kong",Tsuen Wan,22.39535,114.11003,2,$600.00,3.0,4.0,4.0,3.0,4.0
6348825,https://www.airbnb.com/rooms/6348825,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,3,$555.00,4.49,4.79,4.41,4.46,4.67
6349168,https://www.airbnb.com/rooms/6349168,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,2,$497.00,4.59,4.84,4.45,4.63,4.69
6349365,https://www.airbnb.com/rooms/6349365,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,4,$684.00,4.33,4.76,4.18,4.14,4.59
6404673,https://www.airbnb.com/rooms/6404673,,Yau Tsim Mong,22.32063,114.17143,2,$476.00,4.6,5.0,4.6,4.0,4.6
6409693,https://www.airbnb.com/rooms/6409693,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,2,$444.00,4.42,4.83,4.43,4.5,4.59
6416090,https://www.airbnb.com/rooms/6416090,,Yau Tsim Mong,22.31793,114.16979,2,$400.00,4.33,5.0,4.33,4.67,3.67
