,room_type, bathrooms_text ,bedrooms,price
2212,Private room, 1 bath ,1,180
2213,Private room, 1 shared bath ,1,180
2214,Private room, 1 bath ,1,180
2215,Private room, 1 bath ,1,180
2216,Entire home/apt, 1 bath ,2,1319
2217,Private room, 1 bath ,1,180
2218,Private room, 1 bath ,1,180
2219,Private room, 1 bath ,1,180
2220,Entire home/apt, 1 bath ,2,929
2221,Private room, 1 bath ,1,217
2222,Private room, 1 bath ,1,217
2223,Private room, 1 bath ,1,180
2224,Private room, 1 bath ,1,217
2225,Private room, 2 baths ,1,142
2226,Private room, 2 baths ,1,140
2227,Private room, 2 baths ,1,180
2228,Private room, 1 bath ,1,150
2229,Private room, 1 bath ,1,180
2230,Private room, 1 bath ,1,180
2231,Private room, 1 bath ,1,180
2232,Entire home/apt, 2 baths ,2,1263
2233,Entire home/apt, 1 bath ,1,650
2234,Private room, 1 bath ,1,180
2235,Private room, 1 bath ,1,180
2236,Private room, 1 bath ,1,180
2237,Private room, 1 bath ,1,180
2238,Private room, 1 bath ,1,180
2239,Private room, 1 bath ,1,180
2240,Private room, 1 bath ,1,180
2241,Private room, 1 bath ,1,180
2242,Private room, 1 shared bath ,1,180
2243,Private room, 1 private bath ,1,217
2244,Private room, 1 private bath ,1,390
2245,Entire home/apt, 1 bath ,2,2286
2246,Private room, 2 baths ,1,180
2247,Private room, 2 baths ,1,180
2248,Entire home/apt, 1 bath ,2,549
2249,Private room, 1 bath ,1,180
2250,Private room, 1 bath ,1,180
2251,Private room, 1 bath ,1,120
2252,Private room, 1 bath ,1,190
2253,Shared room, 1 shared bath ,1,180
2254,Private room, 2 baths ,1,150
2255,Private room, 2 baths ,1,180
2256,Private room, 2 baths ,1,180
2257,Private room, 2 baths ,1,180
2258,Private room, 1 bath ,1,150
2259,Private room, 1 bath ,1,180
2260,Private room, 1 private bath ,1,893
2261,Private room, 1 bath ,1,180
2262,Private room, 2 baths ,1,180
2263,Private room, 1 shared bath ,2,700
2264,Private room, 1 shared bath ,1,180
2265,Private room, 1 shared bath ,1,235
2266,Private room, 1 bath ,1,180
2267,Private room, 1 bath ,1,180
2268,Private room, 1 bath ,1,180
2269,Private room, 1 bath ,1,206
2270,Private room, 1 bath ,1,150
2271,Private room, 1 bath ,1,180
2272,Private room, 1 bath ,1,180
2273,Private room, 1 bath ,1,180
2274,Private room, 1.5 baths ,1,540
2275,Private room, 1 shared bath ,1,180
2276,Private room, 1 private bath ,1,180
2277,Private room, 1 shared bath ,1,150
2278,Entire home/apt, 1 bath ,1,380
2279,Private room, 2 baths ,1,180
2280,Private room, 2 baths ,1,180
2281,Private room, 2 baths ,1,180
2282,Private room, 2 baths ,1,180
2283,Private room, 1 private bath ,1,392
2284,Private room, 1 private bath ,1,550
2285,Private room, 1 private bath ,1,667
2286,Private room, 1 private bath ,1,829
2287,Private room, 1 private bath ,1,1903
2288,Private room, 1 private bath ,1,1903
